Date,Open,High,Low,Close,Adj Close,Volume
2017-02-14,8.140000,8.140000,8.140000,8.140000,6.741132,0
2017-02-15,8.130000,8.130000,8.130000,8.130000,6.732849,0
2017-02-16,8.120000,8.120000,8.120000,8.120000,6.724567,0
2017-02-17,8.100000,8.100000,8.100000,8.100000,6.708004,0
2017-02-21,8.130000,8.130000,8.130000,8.130000,6.732849,0
2017-02-22,8.160000,8.160000,8.160000,8.160000,6.757693,0
2017-02-23,8.190000,8.190000,8.190000,8.190000,6.782538,0
2017-02-24,8.170000,8.170000,8.170000,8.170000,6.765975,0
2017-02-27,8.170000,8.170000,8.170000,8.170000,6.805960,0
2017-02-28,8.160000,8.160000,8.160000,8.160000,6.797630,0
2017-03-01,8.160000,8.160000,8.160000,8.160000,6.797630,0
2017-03-02,8.130000,8.130000,8.130000,8.130000,6.772640,0
2017-03-03,8.160000,8.160000,8.160000,8.160000,6.797630,0
2017-03-06,8.160000,8.160000,8.160000,8.160000,6.797630,0
2017-03-07,8.170000,8.170000,8.170000,8.170000,6.805960,0
2017-03-08,8.100000,8.100000,8.100000,8.100000,6.747649,0
2017-03-09,8.040000,8.040000,8.040000,8.040000,6.697666,0
2017-03-10,8.090000,8.090000,8.090000,8.090000,6.739319,0
2017-03-13,8.080000,8.080000,8.080000,8.080000,6.730989,0
2017-03-14,8.040000,8.040000,8.040000,8.040000,6.697666,0
2017-03-15,8.110000,8.110000,8.110000,8.110000,6.755978,0
2017-03-16,8.160000,8.160000,8.160000,8.160000,6.797630,0
2017-03-17,8.170000,8.170000,8.170000,8.170000,6.805960,0
2017-03-20,8.190000,8.190000,8.190000,8.190000,6.822622,0
2017-03-21,8.190000,8.190000,8.190000,8.190000,6.822622,0
2017-03-22,8.180000,8.180000,8.180000,8.180000,6.814291,0
2017-03-23,8.190000,8.190000,8.190000,8.190000,6.822622,0
2017-03-24,8.220000,8.220000,8.220000,8.220000,6.847614,0
2017-03-27,8.210000,8.210000,8.210000,8.210000,6.839283,0
2017-03-28,8.190000,8.190000,8.190000,8.190000,6.858544,0
2017-03-29,8.200000,8.200000,8.200000,8.200000,6.866917,0
2017-03-30,8.200000,8.200000,8.200000,8.200000,6.866917,0
2017-03-31,8.160000,8.160000,8.160000,8.160000,6.833420,0
2017-04-03,8.160000,8.160000,8.160000,8.160000,6.833420,0
2017-04-04,8.150000,8.150000,8.150000,8.150000,6.825047,0
2017-04-05,8.150000,8.150000,8.150000,8.150000,6.825047,0
2017-04-06,8.160000,8.160000,8.160000,8.160000,6.833420,0
2017-04-07,8.170000,8.170000,8.170000,8.170000,6.841795,0
2017-04-10,8.160000,8.160000,8.160000,8.160000,6.833420,0
2017-04-11,8.160000,8.160000,8.160000,8.160000,6.833420,0
2017-04-12,8.200000,8.200000,8.200000,8.200000,6.866917,0
2017-04-13,8.210000,8.210000,8.210000,8.210000,6.875292,0
2017-04-17,8.230000,8.230000,8.230000,8.230000,6.892040,0
2017-04-18,8.230000,8.230000,8.230000,8.230000,6.892040,0
2017-04-19,8.200000,8.200000,8.200000,8.200000,6.866917,0
2017-04-20,8.200000,8.200000,8.200000,8.200000,6.866917,0
2017-04-21,8.210000,8.210000,8.210000,8.210000,6.875292,0
2017-04-24,8.250000,8.250000,8.250000,8.250000,6.908790,0
2017-04-25,8.250000,8.250000,8.250000,8.250000,6.908790,0
2017-04-26,8.230000,8.230000,8.230000,8.230000,6.892040,0
2017-04-27,8.230000,8.230000,8.230000,8.230000,6.929085,0
2017-04-28,8.250000,8.250000,8.250000,8.250000,6.945925,0
2017-05-01,8.250000,8.250000,8.250000,8.250000,6.945925,0
2017-05-02,8.260000,8.260000,8.260000,8.260000,6.954342,0
2017-05-03,8.260000,8.260000,8.260000,8.260000,6.954342,0
2017-05-04,8.210000,8.210000,8.210000,8.210000,6.912246,0
2017-05-05,8.210000,8.210000,8.210000,8.210000,6.912246,0
2017-05-08,8.200000,8.200000,8.200000,8.200000,6.903828,0
